Timestamp	What company do you work for?	Have you ever built either an API with Hypermedia support or a Semantic Web / Linked Data-compatible API?	While building a Hypermedia API and/or Semantic Web/Linked-Data-compatible API, what kind of technologies were you looking for?	How much time did you spend finding the technologies to use?	Was this time constrained or free?	How did you find these technologies?	How difficult was it?	What were the two most difficult things?	Approximately, how many media types did you consider ?	What key features of media types were you looking for ?	Did you find one media type that had all the key features you selected?	What features the media types you choose was missing, forcing you to implement them by yourself?	Approximately, how many interface description languages did you consider ?	What key features of interface description languages were you looking for ?	Did you find one interface description language that had all the key features you selected?	What features the interface description language you choose was missing, forcing you to implement them by yourself?	Approximately, how many implementation frameworks did you consider ?	What key features of implementation frameworks were you looking for ?	Did you find one framework that had all the key features you selected?	What features the implementation framework you choose was missing, forcing you to implement them by yourself?	After using them for a few months, how much do these technologies end up meeting your needs ?	Do you have something else to tell us about this subject?	Why you have never built hypermedia APIs ?	Why you have never built Semantic Web / Linked Data APIs ?
12/31/2018 16:56:38	FABERNOVEL	Yes	Media type, Interface description language, Implementation framework	From an hour to a full day	Free	Web search, Previous experiences, Recommendations from other developers	3	Finding the technologies, Teach the project team how to use these technologies	1 to 3	Based on JSON, Models HTTP operations with URL HTTP verbs input model and output model, Structure close to a JSON document without hypermedia controls or semantic web data, Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources)		Models HTTP operations with URL HTTP verbs input model and output model, Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources)	1 to 3				1 to 2	Support, Simplicity, Possibility to use several and custom media types		Compatibility with other frameworks, Possibility to use several and custom media types	2	Can't tell if there is any perfect framework to implement Hypermedia. Spring HATEOAS has a good DSL and semantic but the implementation and format are linked in the way you implement the resources... there is no abstraction above the format we choose sadly...		
1/3/2019 11:53:19	FABERNOVEL	Yes	Media type, Interface description language, Implementation framework	More than two weeks	Free	Web search, Previous experiences	5	Finding the technologies, Finding/understanding what they do and don't do, Teach the project team how to use these technologies	1 to 3	Structure close to a JSON document without hypermedia controls or semantic web data, Based on JSON		Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources), Support the addition of RDF vocabulary to make it Semantic Web compatible	1 to 3	Operations have their own input / output model		Describes links to other resources or operations, Operations have their own input / output model		Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation Graph Traversal		All of them	0			
1/3/2019 14:40:45	FABERNOVEL	Yes	Media type, Interface description language, Implementation framework	More than two weeks	Constrained	Web search, Previous experiences	5	Finding the technologies, Finding/understanding what they do and don't do, Teach the project team how to use these technologies	1 to 3	Models HTTP operations with URL HTTP verbs input model and output model, Models business constraints, Models errors, Models non-functional properties such as SLA or authentication mechanism, Allows providing an array of links besides the resource	No	Models HTTP operations with URL HTTP verbs input model and output model	1 to 3	Operations have their own input / output model, Describes links to other resources or operations, Describes business constraints, Describes the authentication mechanism, Describes errors, Models resources as FSMs, Can be generated for a single resource or operation in order to send it at runtime along with the resource as meta-data	No	Describes links to other resources or operations, Describes business constraints, Describes the authentication mechanism, Models resources as FSMs, Can be generated for a single resource or operation in order to send it at runtime, along with the resource, as meta-data	3 to 5	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Models resources as FSM, Automatically generates hyperlinks to other resources	No	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Models resources as FSM, Automatically generates hyperlinks to other resources	0			
1/4/2019 10:59:16	Confidentiel	Yes	Media type, Implementation framework	More than two weeks	Free	Web search	4	Finding the technologies, Compare them, Integrate them into the project	1 to 3	Based on JSON, Structure close to a JSON document without hypermedia controls or semantic web data, Models HTTP operations with URL HTTP verbs input model and output model, Models business constraints, Models errors, Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources)	No	A distinction between links/queries (read-only relationships) and write actions	I don't know				1 to 2	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Abstract and auto-document the conditions on the availability of the operations, Models resources as FSM, Automatically generates hyperlinks to other resources, Allows to manually provide additional links along with the resource to return when handling a request, Models business constraints	No	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Non-functional properties description, Abstract and auto-document the conditions on the availability of the operations, Models resources as FSM, Automatically generates hyperlinks to other resources, Allows to manually provide additional links along with the resource to return when handling a request	5			
1/7/2019 16:40:38	Confidentiel	Yes	Media type, Implementation framework	Less than an hour	Constrained	Web search, Previous experiences, Recommendations from other developers	3	Finding the technologies, Finding/understanding what they do and don't do, Compare them	4 to 7	Based on JSON, Structure close to a JSON document without hypermedia controls or semantic web data, Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources)	No	I wanted a simple format, so I chose HAL but it doesn't support linking operations	I don't know	Operations have their own input / output model, Describes templated URIs (example: https://example.com/persons/{id}), Describes pagination, Describes links to other resources or operations, Describes business constraints, Describes the authentication mechanism	No		3 to 5	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Automatically generates hyperlinks to other resources	No	I want to proper functional library, not a clumsy constraining framework	3	I prefer to keep the intelligence (“which actions are available for the current user on this resource”) in the server, so I use Hypermedia to give the informations to the clients (the front-end) so it doesn't have to compute it. But the rest (using responses links instead of a custom reverse-proxy, using schema's definition to build page and forms) seems really complex to use (how to make a generated form look good?) so I think for now it costs more than it saves.		
1/7/2019 18:03:43	Confidentiel	No																						
1/9/2019 22:17:46	Confidentiel	No																					I don't know this subject	I don't know this subject
1/10/2019 8:52:49	Adeo	Yes	Implementation framework	Less than an hour	Free	Web search, Previous experiences	3	Finding/understanding what they do and don't do, Integrate them into the project		Based on JSON, Models HTTP operations with URL HTTP verbs input model and output model, Models business constraints, Models errors, Allows semantically linking operations and other resources to the currently represented resource(s) (plural in case the current resource is an array of embedded resources)				Describes templated URIs (example: https://example.com/persons/{id}), Describes pagination, Describes links to other resources or operations, Describes the authentication mechanism, Describes errors							3			
1/10/2019 9:07:06	Adeo	Yes	Interface description language	Less than an hour	Free	Web search	2	Finding/understanding what they do and don't do, Compare them, Integrate them into the project, Teach the project team how to use these technologies	I don't know	Models HTTP operations with URL HTTP verbs input model and output model	No	Models non-functional properties such as SLA or authentication mechanism	I don't know	Operations' input / output model are derived from their parent resource and their HTTP verb, Describes templated URIs (example: https://example.com/persons/{id}), Describes pagination, Describes links to other resources or operations, Describes errors	No		1 to 2	HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors	Yes		1	I am currently looking for this kind of framework in NodeJS		
1/10/2019 14:06:39	FABERNOVEL	Yes	Media type, Interface description language	From a full day to a week	Constrained	Web search, Recommendations from other developers	4	Finding/understanding what they do and don't do, Integrate them into the project	1 to 3	Based on JSON, Structure close to a JSON document without hypermedia controls or semantic web data, Models HTTP operations with URL HTTP verbs input model and output model, Allows providing an array of links besides the resource	No	Models HTTP operations with URL HTTP verbs input model and output model	1 to 3	Operations have their own input / output model, Describes templated URIs (example: https://example.com/persons/{id}), Describes pagination, Describes links to other resources or operations, Can be generated for a single resource or operation in order to send it at runtime along with the resource as meta-data	No	Don't know		Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Abstract and auto-document the conditions on the availability of the operations, Automatically generates hyperlinks to other resources, Allows to manually provide additional links along with the resource to return when handling a request	No	Resources and data model auto-documentation, HTTP operations auto-documentation, Links between resources auto-documentation, Abstract and auto-document the handling of the errors, Abstract and auto-document the conditions on the availability of the operations, Automatically generates hyperlinks to other resources, Allows to manually provide additional links along with the resource to return when handling a request	3	Didn't look for a framework because needed to use Play as the main framework. Made a custom a media type from HAL and a custom interface description language		
